school_id,grade,class,student_id,sex,nationality,grade_math_t1,grade_language_t1,grade_science_t1,grade_math_t2,grade_language_t2,grade_science_t2,treatment,date_of_birth
57,6,A,wvqgd@cunb.edu,1,1,2.04628507703346,2.36978271048319,2.71134389195394,1.17530912955594,1.49880676300567,1.84036794447643,1,1997-07-27
57,6,A,j0ihe@cunb.edu,1,2,7.85907654132909,7.2069837124481,6.99445490347437,7.54881167603895,6.89671884715795,6.68419003818422,1,1997-06-24
57,6,A,wcjgk@cunb.edu,2,1,7.11897560768979,8.05744870380716,8.57320978027986,6.18101881178269,7.11949190790007,7.63525298437277,1,1997-04-23
57,6,A,mzmqb@cunb.edu,1,1,6.97373700373938,7.38800849904439,6.62844780366069,7.59310168610305,8.00737318140805,7.24781248602435,1,1997-02-24
57,6,A,s6n0y@cunb.edu,1,1,6.57487749496944,6.7736260527978,7.8443164411234,7.61106521548929,7.80981377331766,8.88050416164326,1,1996-09-05
57,6,A,valwu@cunb.edu,1,1,7.04164674624641,8.23765006873597,7.13312780976135,6.26965774872099,7.46566107121055,6.36113881223594,1,1997-06-18
57,6,A,ylw2t@cunb.edu,1,1,8.6119354199648,8.01535456814171,9.27773010917307,7.63525176487165,7.03867091304856,8.30104645407992,1,1997-04-23
57,6,A,pakza@cunb.edu,1,2,6.02574442672498,5.38347296669103,7.03674549396105,6.82095876384156,6.17868730380761,7.83195983107763,1,1997-02-09
57,6,A,nfljw@cunb.edu,1,2,5.33613657928225,5.23893830715832,4.81969527551126,6.39351152677113,6.29631325464719,5.87707022300014,1,1997-08-07
57,6,A,crjpx@cunb.edu,1,1,9.03936227418859,9.126943222791,8.78936868122224,8.23516827124634,8.32274921984875,7.98517467828,1,1996-10-24
57,6,A,hsnzr@cunb.edu,1,1,6.26237719797969,5.76746620576337,4.66970168951407,6.05977034380754,5.56485935159122,4.46709483534192,1,1997-02-28
57,6,A,d7uk1@cunb.edu,1,1,6.55577649619572,7.10878260411464,7.88028885355361,7.81246147150041,8.36546757941933,9.1369738288583,1,1996-12-23
57,6,A,xzjvr@cunb.edu,1,1,7.45250858407803,8.29435519356615,8.69949200604446,7.27927873003351,8.12112533952164,8.52626215199994,1,1996-10-26
57,6,A,4yvia@cunb.edu,2,1,4.9491106544299,4.55084834551941,4.54560185714196,5.02688538031135,4.62862307140087,4.62337658302341,1,1997-08-13
57,6,A,al6hx@cunb.edu,1,2,6.92972392294102,6.77110283620201,6.7044595823019,5.6021042466291,5.4434831598901,5.37683990598999,1,1997-04-01
